node_id	pr_value
663930	0.00017505100621236706
482708	9.321452423073912e-05
1034017	5.536893436792203e-05
663559	4.802951431420439e-05
357530	4.705074381659678e-05
1120567	4.471878174147376e-05
663605	4.271732217782076e-05
1108860	3.759389043593869e-05
663682	3.65297973245009e-05
664788	3.560013386929328e-05
