Date,Adj Close
1/3/12,17.825634
1/4/12,18.239679
1/5/12,18.450327
1/6/12,18.341373
1/9/12,18.501177
1/10/12,18.588339
1/11/12,18.740889
1/12/12,18.704569
1/13/12,18.261467
1/17/12,18.188833
1/18/12,18.443064
1/19/12,18.617393
1/20/12,19.162199
1/23/12,19.401896
1/24/12,19.539913
1/25/12,19.539913
1/26/12,19.430956
1/27/12,19.41643
1/30/12,19.423693
1/31/12,19.191252
2/1/12,19.285679
2/2/12,19.242098
2/3/12,19.578907
2/6/12,19.564257
2/7/12,19.505692
2/8/12,19.659452
2/9/12,19.666765
2/10/12,19.54962
2/13/12,19.54962
2/14/12,19.608194
2/15/12,19.461752
2/16/12,19.6448
2/17/12,20.040188
2/21/12,19.886427
2/22/12,19.571583
2/23/12,19.520327
2/24/12,19.54962
2/27/12,19.688732
2/28/12,19.945004
2/29/12,19.681414
3/1/12,19.666765
3/2/12,19.710703
3/5/12,19.43247
3/6/12,19.483727
3/7/12,19.703381
3/8/12,19.652124
3/9/12,19.82053
3/12/12,19.76195
3/13/12,20.128054
3/14/12,20.106087
3/15/12,20.318419
3/16/12,20.30378
3/19/12,20.311104
3/20/12,20.318419
3/21/12,20.340387
3/22/12,20.428253
3/23/12,20.413612
3/26/12,20.640585
3/27/12,20.640585
3/28/12,20.355026
3/29/12,20.618622
3/30/12,20.58934
4/2/12,20.779699
4/3/12,20.582014
4/4/12,20.450218
4/5/12,20.552725
4/9/12,20.325741
4/10/12,20.098768
4/11/12,20.391644
4/12/12,20.852924
4/13/12,20.567371
4/16/12,20.801668
4/17/12,20.8456
4/18/12,20.464863
4/19/12,20.274494
4/20/12,20.208593
4/23/12,20.098768
4/24/12,19.996256
4/25/12,20.39896
4/26/12,20.662554
4/27/12,20.779699
4/30/12,20.79435
5/1/12,21.197054
5/2/12,21.365461
5/3/12,21.063089
5/4/12,20.576338
5/7/12,20.47308
5/8/12,20.185455
5/9/12,20.052704
5/10/12,20.089579
5/11/12,20.377203
5/14/12,19.927334
5/15/12,19.82408
5/16/12,19.543829
5/17/12,19.315205
5/18/12,19.226704
5/21/12,19.285707
5/22/12,19.197206
5/23/12,18.762079
5/24/12,18.916952
5/25/12,18.983324
5/29/12,19.241455
5/30/12,19.270956
5/31/12,19.057077
6/1/12,18.540825
6/4/12,18.467081
6/5/12,18.754702
6/6/12,19.226704
6/7/12,19.130827
6/8/12,19.477451
6/11/12,19.167702
6/12/12,19.558582
6/13/12,19.573334
6/14/12,19.897829
6/15/12,20.163332
6/18/12,20.222332
6/19/12,20.288712
6/20/12,20.384581
6/21/12,19.698702
6/22/12,19.868336
6/25/12,19.211954
6/26/12,19.182451
6/27/12,19.337332
6/28/12,19.0497
6/29/12,19.654461
7/2/12,19.669203
7/3/12,19.809328
7/5/12,19.580704
7/6/12,19.293077
7/9/12,19.300453
7/10/12,18.85058
7/11/12,18.725199
7/12/12,18.245823
7/13/12,18.621952
7/16/12,18.533451
7/17/12,18.717825
7/18/12,19.329952
7/19/12,19.219328
7/20/12,18.821083
7/23/12,18.629332
7/24/12,18.444948
7/25/12,18.533451
7/26/12,18.806324
7/27/12,19.189835
7/30/12,18.998075
7/31/12,18.953825
8/1/12,19.123451
8/2/12,19.108702
8/3/12,19.514166
8/6/12,19.573679
8/7/12,19.715034
8/8/12,19.789433
8/9/12,19.863829
8/10/12,19.997736
8/13/12,19.856382
8/14/12,19.700153
8/15/12,19.543919
8/16/12,19.78199
8/17/12,19.588562
8/20/12,19.514166
8/21/12,19.424887
8/22/12,19.142179
8/23/12,18.628853
8/24/12,18.532127
8/27/12,18.480051
8/28/12,18.599092
8/29/12,18.353579
8/30/12,18.055992
8/31/12,18.472614
9/4/12,18.167593
9/5/12,18.145273
9/6/12,18.673491
9/7/12,17.996473
9/10/12,17.304592
9/11/12,17.364109
9/12/12,17.25252
9/13/12,17.378988
9/14/12,17.386435
9/17/12,17.341791
9/18/12,17.386435
9/19/12,17.222754
9/20/12,17.245071
9/21/12,17.207874
9/24/12,16.962368
9/25/12,16.768946
9/26/12,16.850777
9/27/12,17.178118
9/28/12,16.858212
10/1/12,16.932608
10/2/12,16.992132
10/3/12,16.776379
10/4/12,16.716864
10/5/12,16.873098
10/8/12,16.746622
10/9/12,16.292801
10/10/12,16.188644
10/11/12,16.129131
10/12/12,15.98034
10/15/12,16.166334
10/16/12,16.627584
10/17/12,16.210964
10/18/12,16.121691
10/19/12,15.824103
10/22/12,15.965459
10/23/12,16.062172
