"Date","jpy"
2000-11-27,110.57
2000-11-28,110.169998
2000-11-29,111.32
2000-11-30,110.370003
2000-12-01,111.190002
2000-12-04,111.059998
2000-12-05,110.739998
2000-12-06,110.160004
2000-12-07,110.540001
2000-12-08,110.900002
2000-12-11,110.720001
2000-12-12,111.57
2000-12-13,112.360001
2000-12-14,112.129997
2000-12-15,112.419998
2000-12-18,112.120003
2000-12-19,112.650002
2000-12-20,112.889999
2000-12-21,112.110001
2000-12-22,112.800003
2000-12-25,113.019997
2000-12-26,113.730003
2000-12-27,114.260002
2000-12-28,114.589996
2000-12-29,114.379997
2001-01-01,114.57
2001-01-02,114.400002
2001-01-03,113.839996
2001-01-04,116.089996
2001-01-05,116.449997
2001-01-08,116.099998
2001-01-09,117.07
2001-01-10,116.449997
2001-01-11,117.910004
2001-01-12,118.470001
2001-01-15,119.110001
2001-01-16,117.709999
2001-01-17,119.169998
2001-01-18,117.900002
2001-01-19,117.129997
2001-01-22,116.459999
2001-01-23,116.610001
2001-01-24,117.900002
2001-01-25,116.620003
2001-01-26,117.32
2001-01-29,116.739998
2001-01-30,115.650002
2001-01-31,116.68
2001-02-01,115.419998
2001-02-02,115.629997
2001-02-05,114.709999
2001-02-06,114.739998
2001-02-07,116.160004
2001-02-08,116.709999
2001-02-09,117.5
2001-02-12,117.309998
2001-02-13,116.599998
2001-02-14,116.190002
2001-02-15,115.620003
2001-02-16,115.720001
2001-02-19,116.080002
2001-02-20,115.639999
2001-02-21,116.370003
2001-02-22,117.010002
2001-02-23,115.75
2001-02-26,116.480003
2001-02-27,116.360001
2001-02-28,117.389999
2001-03-01,117.5
2001-03-02,119.050003
2001-03-05,118.919998
2001-03-06,118.699997
2001-03-07,119.519997
2001-03-08,119.82
2001-03-09,119.540001
2001-03-12,120.470001
2001-03-13,119.610001
2001-03-14,120.82
2001-03-15,121.989998
2001-03-16,122.919998
2001-03-19,122.800003
2001-03-20,122.199997
2001-03-21,123.019997
2001-03-22,123.760002
2001-03-23,122.830002
2001-03-26,122.660004
2001-03-27,122.160004
2001-03-28,122.269997
2001-03-29,123.68
2001-03-30,126.230003
2001-04-02,126.639999
2001-04-03,125.529999
2001-04-04,125.470001
2001-04-05,124.260002
2001-04-06,123.730003
2001-04-09,125.279999
2001-04-10,124.419998
2001-04-11,124.739998
2001-04-12,123.5
2001-04-13,123.5
2001-04-16,124.599998
2001-04-17,123.379997
2001-04-18,122
2001-04-19,121.239998
2001-04-20,122.330002
2001-04-23,121.18
2001-04-24,122.300003
2001-04-25,122.089996
2001-04-26,123.169998
2001-04-27,124.019997
2001-04-30,123.379997
2001-05-01,122.110001
2001-05-02,121.529999
2001-05-03,121.330002
2001-05-04,121.279999
2001-05-07,120.870003
2001-05-08,121.279999
2001-05-09,122.309998
2001-05-10,122.519997
2001-05-11,122.370003
2001-05-14,123.199997
2001-05-15,123.199997
2001-05-16,123.230003
2001-05-17,122.599998
2001-05-18,123.510002
2001-05-21,122.669998
2001-05-22,122.720001
2001-05-23,120.199997
2001-05-24,119.970001
2001-05-25,120.589996
2001-05-28,121.260002
2001-05-29,120.059998
2001-05-30,120.440002
2001-05-31,119.230003
2001-06-01,119.209999
2001-06-04,119.199997
2001-06-05,120.18
2001-06-06,120
2001-06-07,120.330002
2001-06-08,120.849998
2001-06-11,121.830002
2001-06-12,121.580002
2001-06-13,122.019997
2001-06-14,121.300003
2001-06-15,122.870003
2001-06-18,123.419998
2001-06-19,122.800003
2001-06-20,123.870003
2001-06-21,124.57
2001-06-22,124.459999
2001-06-25,123.900002
2001-06-26,123.779999
2001-06-27,124.220001
2001-06-28,124.849998
2001-06-29,124.5
2001-07-02,123.970001
2001-07-03,124.349998
2001-07-04,124.43
2001-07-05,125.559998
2001-07-06,125.82
2001-07-09,125.260002
2001-07-10,125.269997
2001-07-11,124.269997
2001-07-12,123.93
2001-07-13,124.860001
2001-07-16,125.5
2001-07-17,124.800003
2001-07-18,124.080002
2001-07-19,123.379997
2001-07-20,122.860001
2001-07-23,124.379997
2001-07-24,124.199997
2001-07-25,123.57
2001-07-26,123.720001
2001-07-27,123.459999
2001-07-30,125.169998
2001-07-31,125.010002
2001-08-01,124.389999
2001-08-02,123.720001
2001-08-03,123.599998
2001-08-06,123.800003
2001-08-07,123.559998
2001-08-08,123.559998
2001-08-09,121.959999
2001-08-10,121.949997
2001-08-13,122.379997
2001-08-14,121.830002
2001-08-15,119.889999
2001-08-16,120.25
2001-08-17,120.190002
2001-08-20,120.739998
2001-08-21,119.769997
2001-08-22,120.419998
2001-08-23,119.889999
2001-08-24,119.980003
2001-08-27,119.889999
